iter	Passed	Remaining
686	952	433
687	953	432
688	954	430
689	955	429
690	956	427
691	958	426
692	959	425
693	960	423
694	962	422
695	963	420
696	964	419
697	965	417
698	966	416
699	967	414
700	968	413
701	969	411
702	970	410
703	972	408
704	973	407
705	974	406
706	976	404
707	977	403
708	978	401
709	979	400
710	980	398
711	981	397
712	982	395
713	983	394
714	984	392
715	986	391
716	987	389
717	988	388
718	989	386
719	990	385
720	991	383
721	993	382
722	993	380
723	995	379
724	995	377
725	996	376
726	997	374
727	998	373
728	999	371
729	1000	370
730	1002	368
731	1003	367
732	1004	365
733	1005	364
734	1006	362
735	1007	361
736	1008	359
737	1009	358
738	1010	356
739	1011	355
740	1012	353
741	1013	352
742	1014	350
743	1015	349
744	1016	348
745	1018	346
746	1019	345
747	1020	343
748	1021	342
749	1022	340
750	1023	339
751	1024	337
752	1025	336
753	1026	334
754	1027	333
755	1028	331
756	1029	330
757	1030	329
758	1032	327
759	1033	326
760	1034	324
761	1034	323
762	1035	321
763	1036	320
764	1037	318
765	1039	317
766	1040	315
767	1041	314
768	1042	313
769	1043	311
770	1043	310
771	1045	308
772	1046	307
773	1048	306
774	1049	304
775	1050	303
776	1051	301
777	1052	300
778	1053	298
779	1054	297
780	1055	295
781	1056	294
782	1057	293
783	1058	291
784	1059	290
785	1061	288
786	1062	287
787	1063	286
788	1064	284
789	1065	283
790	1066	281
791	1067	280
792	1068	278
793	1069	277
794	1070	276
795	1071	274
796	1073	273
797	1074	271
798	1075	270
799	1076	269
800	1077	267
801	1078	266
802	1079	264
803	1080	263
804	1081	261
805	1082	260
806	1083	259
807	1084	257
808	1085	256
809	1086	254
810	1087	253
811	1088	252
812	1089	250
813	1090	249
814	1091	247
815	1093	246
816	1094	245
817	1095	243
818	1096	242
819	1097	240
820	1098	239
821	1099	238
822	1100	236
823	1101	235
824	1102	233
825	1103	232
826	1104	231
827	1106	229
828	1107	228
829	1108	226
830	1109	225
831	1110	224
832	1111	222
833	1112	221
834	1113	219
835	1114	218
836	1115	217
837	1116	215
838	1117	214
839	1118	213
840	1119	211
841	1120	210
842	1121	208
843	1122	207
844	1123	206
845	1125	204
846	1126	203
847	1127	202
848	1127	200
849	1129	199
850	1130	197
851	1130	196
852	1131	195
853	1132	193
854	1134	192
855	1135	191
856	1136	189
857	1138	188
858	1139	186
859	1140	185
860	1141	184
861	1142	182
862	1143	181
863	1144	180
864	1145	178
865	1146	177
866	1147	176
867	1148	174
868	1149	173
869	1151	172
870	1152	170
871	1153	169
872	1154	167
873	1155	166
874	1156	165
875	1157	163
876	1159	162
877	1160	161
878	1161	159
879	1162	158
880	1163	157
881	1165	155
882	1166	154
883	1167	153
884	1168	151
885	1169	150
886	1170	149
887	1171	147
888	1172	146
889	1173	145
890	1174	143
891	1175	142
892	1176	140
893	1177	139
894	1178	138
895	1180	136
896	1181	135
897	1182	134
898	1183	132
899	1184	131
900	1185	130
901	1186	128
902	1187	127
903	1188	126
904	1189	124
905	1190	123
906	1191	122
907	1192	120
908	1193	119
909	1195	118
910	1196	116
911	1197	115
912	1198	114
913	1199	112
914	1199	111
915	1201	110
916	1201	108
917	1202	107
918	1203	106
919	1204	104
920	1205	103
921	1206	102
922	1207	100
923	1208	99
924	1209	98
925	1211	96
926	1212	95
927	1213	94
928	1214	92
929	1215	91
930	1216	90
931	1217	88
932	1218	87
933	1219	86
934	1220	84
935	1221	83
936	1222	82
937	1224	80
938	1225	79
939	1226	78
940	1227	76
941	1228	75
942	1229	74
943	1230	73
944	1231	71
945	1232	70
946	1233	69
947	1234	67
948	1235	66
949	1236	65
950	1237	63
951	1238	62
952	1240	61
953	1241	59
954	1243	58
955	1244	57
956	1245	55
957	1246	54
958	1247	53
959	1248	52
960	1249	50
961	1250	49
962	1251	48
963	1252	46
964	1253	45
965	1254	44
966	1255	42
967	1256	41
968	1258	40
969	1259	38
970	1260	37
971	1261	36
972	1262	35
973	1263	33
974	1264	32
975	1265	31
976	1266	29
977	1267	28
978	1269	27
979	1270	25
980	1271	24
981	1272	23
982	1273	22
983	1274	20
984	1275	19
985	1276	18
986	1277	16
987	1278	15
988	1279	14
989	1281	12
990	1282	11
991	1283	10
992	1284	9
993	1286	7
994	1287	6
995	1288	5
996	1289	3
997	1289	2
998	1290	1
999	1291	0
